"business","name","taxcode","latitude","longitude","routines","reinspects","complaints","inspects","ratio","meanscore","highrisks","interval","c1","c2","c3","Score"
"4896","Ben  Jerrys HaightAshbury","H28",37.770068,-122.446644,3,2,5,10,0.67,95,0,287,0,0,0,4
"4905","SUPER SAM FOOD","H28",37.779639,-122.423352,4,1,0,5,0.25,97,0,265,0,0,0,4
"4906","NEW STAR MARKET","H28",37.768274,-122.419299,5,1,0,6,0.2,98,0,140,0,0,0,4
"4907","JIM GEORGIES DONUT","H28",37.765262,-122.41523,5,2,0,7,0.4,83,0.5,199,1,0,0,3
"4914","LA PALMA","H28",37.752798,-122.409922,3,1,0,4,0.33,80,1.67,353,1,1,0,2
"4917","LA VICTORIA BAKERY","H28",37.752373,-122.410876,5,5,0,10,1,82,1,221,1,0,0,3
"4922","EL FARO","H28",37.759054,-122.414656,4,1,0,5,0.25,92,0.25,234,0,0,0,4
"4923","TEDS MARKET","H28",37.772723,-122.41608,3,4,0,7,1.33,92,0.33,238,0,0,1,3
"4928","R  T MARKET","H28",37.760987,-122.404175,3,2,0,5,0.67,88,0.67,276,0,0,0,4
"4932","Good Luck Market  Deli","H28",37.793882,-122.404704,4,1,0,5,0.25,98,0,263,0,0,0,4
"4935","Lebeaus Nob Hill Market","H28",37.792854,-122.416114,5,1,3,9,0.2,89,0.5,229,0,0,0,4
"4938","Pier 39 Ice Cream","H28",37.80824,-122.410189,4,2,0,6,0.5,91,0.75,278,0,0,0,4
"4944","FRENCH BAKERY","H24",37.742914,-122.478149,6,2,0,8,0.33,94,0.5,172,0,0,0,4
"4950","CAFE IN THE PARK","H28",37.723112,-122.484058,3,0,0,3,0,95,0,278,0,0,0,4
"4952","CHEVRON STATIONS INC 1727","H28",37.711558,-122.45561,5,0,0,5,0,100,0,192,0,0,0,4
"4953","K  D Market","H28",37.764784,-122.423649,6,2,0,8,0.33,98,0.2,143,0,0,0,4
"4959","THATS IT MARKET","H28",37.753973,-122.418576,5,4,0,9,0.8,88,0.5,152,0,0,0,4
"4960","Three Star Restaurant","H28",37.753583,-122.490839,4,3,1,8,0.75,81,1.25,259,1,1,0,2
"4963","CAL MART SUPERMARKET","H26",37.786453,-122.452807,3,4,0,7,1.33,83,0.67,244,1,0,1,2
"4978","Angels Market","H28",37.748214,-122.433746,4,3,0,7,0.75,92,0,270,0,0,0,4
"4982","FRANKLIN MARKET","H28",37.788658,-122.423627,5,0,0,5,0,90,0.2,192,0,0,0,4
"4983","Young Ellis Produce","H28",37.784961,-122.412761,4,1,0,5,0.25,93,0,285,0,0,0,4
"4986","SENIORES PIZZA","H24",37.742728,-122.475714,4,0,2,6,0,91,0.25,234,0,0,0,4
"4987","ROSSIS DELI","H28",37.761954,-122.435168,2,0,0,2,0,88,0,293,0,0,0,4
"4992","HEALTHY SPIRITS","H28",37.765673,-122.435386,3,0,0,3,0,95,0,240,0,0,0,4
"4998","M  L MARKET","H28",37.767723,-122.428259,5,2,0,7,0.4,97,0.2,176,0,0,0,4
