"business","name","taxcode","latitude","longitude","routines","reinspects","complaints","inspects","ratio","mean_score","high_risk_violations","interval"
"10931","ROYAL GROUND COFFEE","H24",37.781736,-122.452151,5,0,0,5,0,98.4,0,194.5
"10960","FRESH & NATURAL CAFE, LLC 31","H26",37.782683,-122.443697,5,0,2,7,0,97.6,0,173.75
"10990","Tak Kee Lee Restaurant","H24",37.753623,-122.489929,6,2,0,8,0.333333333333333,89.6666666666667,0.333333333333333,184.4
"11018","HAWAIIAN DRIVE-INN #28","H24",37.721131,-122.437475,5,2,0,7,0.4,89.8,0.2,223.75
"11019","Allegro Romano","H25",37.796934,-122.415234,3,1,0,4,0.333333333333333,75,1.66666666666667,448.5
"1102","HOANG DAT COFFEE SHOP","H24",37.786068,-122.418644,6,0,0,6,0,95,0,180.2
"1103","STARBUCKS COFFEE","H24",37.760938,-122.434692,4,0,1,5,0,97.5,0,241
"11079","Cafe Bello","H24",37.733771,-122.434038,6,1,0,7,0.166666666666667,95.6666666666667,0,203
"111","Petite Deli","H24",37.801665,-122.412104,3,2,0,5,0.666666666666667,89.3333333333333,0,237.5
"1111","SUBWAY 16604","H24",37.783713,-122.419357,2,0,1,3,0,100,0,263
"1116","STARBUCKS COFFEE #509","H24",37.797713,-122.430336,5,0,0,5,0,98.4,0,236.5
"1122","STARBUCKS COFFEE #531","H25",37.800547,-122.438494,6,1,0,7,0.166666666666667,97.5,0.166666666666667,191
"1124","SQUAT & GOBBLE CAFE #3","H24",37.764248,-122.433392,5,1,1,7,0.2,89.4,0.6,237.75
"1125","Peet's Coffee & Tea, Inc","H24",37.791554,-122.399565,4,3,0,7,0.75,93.75,0.75,270.666666666667
"1127","Starbucks Coffee","H24",37.792773,-122.403567,4,1,0,5,0.25,95.5,0,298.333333333333
"11289","STARBUCKS","H25",37.776805,-122.393789,6,0,0,6,0,98.3333333333333,0,182.2
"11304","HIDIVE","H25",37.787914,-122.387718,5,1,0,6,0.2,90.6,0.2,229
"1135","Geary Drive In","H24",37.782778,-122.444744,3,2,0,5,0.666666666666667,95.3333333333333,0,323.5
"11365","LE PETITT'S KITCHEN","H24",37.78169,-122.414823,4,1,2,7,0.25,96.75,0.25,167
